timestamp,source,destination,protocol,length,label
2024-02-28 12:31:19.319997,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.322283,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.322706,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.330715,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.330754,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.338069,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.338084,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.361994,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.361994,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.362049,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.362049,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.365116,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.365133,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.365141,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.367196,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.367527,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.368214,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.380374,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.380576,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.382420,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.382669,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.384732,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.387490,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.388346,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.388350,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.394643,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.396904,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.404531,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.404576,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.404650,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.409673,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.409873,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.411874,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.417280,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:31:19.424690,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.425949,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:31:19.434192,192.168.43.61,192.168.43.1,tcp,74,2
